biome1,biome2,biome3,accession,experiment_type,platform,model
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1868852,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1868855,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1868840,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651217,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1868842,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1868843,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1868853,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651216,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651209,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651214,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR1864492,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR6727991,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651212,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651215,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR6727994,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651210,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR6727993,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12651211,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR6727992,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR3047201,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR6706336,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR3047202,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR8246563,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456162,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456163,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456159,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109405,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456161,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109406,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456168,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456164,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456173,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109408,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109399,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109404,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109401,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR12456169,metagenomic,ILLUMINA,HiSeq X Ten
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,SRR9109409,metagenomic,ILLUMINA,Illumina HiSeq 2500
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358513,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358523,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358580,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358602,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360676,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360677,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360681,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360711,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360726,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358543,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358611,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358645,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358612,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358586,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358522,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358507,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358572,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358564,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358598,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358620,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360671,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358570,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360663,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358610,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358554,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358595,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360717,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358588,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360639,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358530,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358549,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358532,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358597,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358569,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358514,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360704,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358583,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358624,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358562,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360708,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360698,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360647,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358577,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358593,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360636,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358617,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358603,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358568,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360706,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360715,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360707,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358542,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358563,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358606,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358552,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358623,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358516,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358559,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360651,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360650,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358535,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358579,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360660,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358614,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358590,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358518,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360635,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358561,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358619,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358529,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358537,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358528,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358566,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360640,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360673,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360649,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360685,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360683,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360634,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358526,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358625,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358551,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358613,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358585,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360646,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360684,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360638,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360686,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360692,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358601,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360653,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360709,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358557,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358615,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358581,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360669,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360701,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358582,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358574,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360689,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9358587,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system,ERR9360675,metagenomic,ILLUMINA,Illumina NovaSeq 6000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Sediment,SRR1572169,metagenomic,ILLUMINA,Illumina HiSeq 2000
Environmental,Environmental:Aquatic,Environmental:Aquatic:Sediment,SRR4069404,metagenomic,ILLUMINA,NextSeq 500
Environmental,Environmental:Aquatic,Environmental:Aquatic:Sediment,SRR4069403,metagenomic,ILLUMINA,Illumina HiSeq 1000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607406,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607374,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607381,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607383,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607395,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607410,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607418,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607447,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607376,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607389,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607379,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607386,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607393,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607407,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607417,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607411,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607401,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607420,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607429,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607382,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607377,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607391,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607404,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607409,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607400,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607421,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607439,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607449,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607452,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607461,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607384,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607388,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607413,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607443,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607488,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607371,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607399,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607415,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607459,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607470,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607489,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607398,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607422,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607445,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607457,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607451,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607477,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607373,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607405,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607424,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607496,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607372,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607396,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607427,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607433,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607441,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607454,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607455,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607467,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607472,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607475,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607446,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607380,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607385,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607402,metagenomic,ILLUMINA,Illumina HiSeq 3000
Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge,ERR2607444,metagenomic,ILLUMINA,Illumina HiSeq 3000
